"","name","geo","region","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy","calcul_vac_100hab","match"
"1","Afghanistan","afg","pays",2021-11-12,2021,NA,NA,NA,NA,NA,36635,NA,NA,NA,NA,920,60035,0.151,39835428,1950,77660991250,2.17,64.74,NA,NA
"2","Africa","africa","continent",2021-11-12,2021,213839593,133302512,89344607,243348,407146,1598788,15.57,9.71,6.5,0.02,1164,1068803,0.078,1371687302,4698,6443655202262,1.5,67.2,15.59,"Incorrect"
"3","Albania","alb","pays",2021-11-12,2021,NA,NA,NA,NA,NA,6886,NA,NA,NA,NA,2397,2091,0.073,2872934,13950,40078428539,4.17,78.7,NA,NA
"4","Algeria","dza","pays",2021-11-12,2021,NA,NA,NA,NA,NA,10137,NA,NA,NA,NA,227,4549,0.01,44616626,10735,478970233056,1.01,78.49,NA,NA
"5","Andorra","and","pays",2021-11-12,2021,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,698,31,0.04,77354,63705,4927820447,3.44,NA,NA,NA
"6","Angola","ago","pays",2021-11-12,2021,NA,NA,NA,NA,NA,122845,NA,NA,NA,NA,3620,103351,0.305,33933611,6060,205637996110,-0.6,65.71,NA,NA
"7","Anguilla","aia","pays",2021-11-12,2021,18782,9624,NA,NA,NA,11,124.18,63.63,NA,NA,727,11,0.073,NA,NA,NA,NA,NA,NA,NA
"8","Antigua and Barbuda","atg","pays",2021-11-12,2021,NA,NA,NA,NA,NA,762,NA,NA,NA,NA,7718,369,0.374,98728,17075,1685787899,10.29,77.54,NA,NA
"9","Argentina","arg","pays",2021-11-12,2021,62598352,35629676,27090784,NA,195516,204775,137.26,78.13,59.4,NA,4490,110030,0.241,45605823,20613,940072982184,1.46,77.25,137.26,"Correct"
"10","Armenia","arm","pays",2021-11-12,2021,NA,NA,NA,NA,NA,14007,NA,NA,NA,NA,4719,8381,0.282,2968128,12745,37828076148,3.54,76.18,NA,NA
"11","Aruba","abw","pays",2021-11-12,2021,160561,83183,77378,NA,123,78,149.78,77.6,72.18,NA,728,36,0.034,NA,NA,NA,NA,NA,NA,NA
