"name","geo","region","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"Afghanistan","afg","pays","asia",2021-11-14,2021,4018197,3530173,3188609,NA,NA,36635,10.09,8.86,8,NA,920,60035,0.151,39835428,1950,77660991250,2.17,64.74
"Africa","africa","continent",NA,2021-11-14,2021,216511112,134757357,90877802,263155,973877,1565115,15.76,9.81,6.62,0.02,1140,1035749,0.075,1371687302,4698,6443655202262,1.5,67.2
"Albania","alb","pays","europe",2021-11-14,2021,2000104,1047822,924194,28088,NA,7565,69.62,36.47,32.17,0.98,2633,2195,0.076,2872934,13950,40078428539,4.17,78.7
"Algeria","dza","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,21027,NA,NA,NA,NA,471,8882,0.02,44616626,10735,478970233056,1.01,78.49
"Andorra","and","pays","europe",2021-11-14,2021,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,698,31,0.04,77354,63705,4927820447,3.44,NA
"Angola","ago","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,105982,NA,NA,NA,NA,3123,85175,0.251,33933611,6060,205637996110,-0.6,65.71
"Anguilla","aia","pays",NA,2021-11-14,2021,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,1256,19,0.126,NA,NA,NA,NA,NA
"Antigua and Barbuda","atg","pays","america_north",2021-11-14,2021,NA,NA,NA,NA,NA,612,NA,NA,NA,NA,6199,314,0.318,98728,17075,1685787899,10.29,77.54
"Argentina","arg","pays","america_south",2021-11-14,2021,63017438,35801814,27340092,NA,222337,194965,138.18,78.5,59.95,NA,4275,95491,0.209,45605823,20613,940072982184,1.46,77.25
"Armenia","arm","pays","europe",2021-11-14,2021,1004493,682188,322305,NA,NA,16242,33.84,22.98,10.86,NA,5472,9763,0.329,2968128,12745,37828076148,3.54,76.18
"Aruba","abw","pays",NA,2021-11-14,2021,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,746,36,0.034,NA,NA,NA,NA,NA
"Asia","asia","continent",NA,2021-11-14,2021,5090776478,2737271715,2117681547,77848190,20538278,23728208,108.81,58.51,45.26,1.66,5072,6851619,0.146,4617906978,13520,62436004910023,6.06,74.03
"Australia","aus","pays","asia",2021-11-14,2021,37695740,19563025,17872077,260638,61317,133177,146.17,75.86,69.3,1.01,5164,37105,0.144,25788217,50130,1292771256938,2.02,83
"Austria","aut","pays","europe",2021-11-14,2021,12326174,6142914,5763514,757509,41503,70166,136.31,67.93,63.73,8.38,7759,19335,0.214,9043072,53632,484999571086,3.48,82.25
"Azerbaijan","aze","pays","europe",2021-11-14,2021,10092423,5022350,4480614,589459,30231,29942,98.72,49.13,43.83,5.77,2929,3595,0.035,10223344,13773,140804665584,0.49,71.28
"Bahamas","bhs","pays","america_north",2021-11-14,2021,NA,NA,NA,NA,NA,765,NA,NA,NA,NA,1927,393,0.099,396914,30985,12298267893,7.3,74.34
"Bahrain","bhr","pays","asia",2021-11-14,2021,2827533,1183775,1148496,NA,4676,3858,161.73,67.71,65.69,NA,2207,318,0.018,1748295,42277,73912627833,1.13,80.02
"Bangladesh","bgd","pays","asia",2021-11-14,2021,84319490,51510392,32809098,NA,481545,1251732,50.7,30.97,19.73,NA,7527,974553,0.586,166303494,5029,836416089227,6.39,74.23
"Barbados","brb","pays","america_north",2021-11-14,2021,284409,151799,132610,NA,491,572,98.85,52.76,46.09,NA,1988,195,0.068,287708,13347,3840019377,7.43,77.57
"Belarus","blr","pays","europe",2021-11-14,2021,5685092,3259591,2425501,NA,NA,39351,60.21,34.52,25.69,NA,4167,21126,0.224,9442867,19133,180672822434,1.31,74.77
"Belgium","bel","pays","europe",2021-11-14,2021,17872085,8784695,8641992,860948,508,22706,153.64,75.52,74.29,7.4,1952,3474,0.03,11632334,50103,582820133539,2.65,82.02
"Belize","blz","pays","america_north",2021-11-14,2021,NA,NA,NA,NA,NA,862,NA,NA,NA,NA,2129,148,0.037,404915,5851,2369315974,4.29,74.69
"Benin","ben","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,3703,NA,NA,NA,NA,297,3551,0.029,12451031,3330,41459785790,3.11,65.9
"Bermuda","bmu","pays",NA,2021-11-14,2021,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,2384,16,0.026,NA,NA,NA,NA,NA
"Bhutan","btn","pays","asia",2021-11-14,2021,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,314,40,0.005,779900,11289,8804142012,4.65,75.34
"Bolivia","bol","pays","america_south",2021-11-14,2021,8104188,4737302,3965483,362758,10752,22960,68.49,40.03,33.51,3.07,1940,16780,0.142,11832936,8249,97612676280,2.68,73.85
"Botswana","bwa","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,16112,NA,NA,NA,NA,6721,8173,0.341,2397240,16813,40305644596,3.24,70.17
"Brazil","bra","pays","america_south",2021-11-14,2021,294339583,161908494,125123667,12162832,403137,1199494,137.55,75.66,58.47,5.68,5605,171516,0.08,213993441,14390,3079431355457,1.94,76.34
"British Virgin Islands","vgb","pays",NA,2021-11-14,2021,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,953,12,0.039,NA,NA,NA,NA,NA
"Brunei","brn","pays","asia",2021-11-14,2021,680757,381106,299651,NA,7179,5719,154.18,86.31,67.87,NA,12953,3669,0.831,441532,63588,28076088275,2.31,75.9
"Bulgaria","bgr","pays","europe",2021-11-14,2021,NA,1786530,NA,NA,NA,15773,NA,25.9,NA,NA,2287,12077,0.175,6896655,23631,162976949316,5.03,75.36
"Burkina Faso","bfa","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4116,0.019,21497097,2161,46465267772,2.23,63.32
"Burundi","bdi","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,3,7,0,12255429,719,8813046067,0.69,62.91
