"name","geo","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy",".cluster"
"Afghanistan","afg","Asia",2021-11-27,2021,5228706,4397449,3566192,NA,NA,15991,13.13,11.04,8.95,NA,401,16001,0.04,39835428,1950,77.661,2.17,64.74,"3"
"Albania","alb","Europe",2021-12-15,2021,2226267,1111494,1001189,113584,9865,8580,77.49,38.69,34.85,3.95,2986,2740,0.095,2872934,13950,40.078,4.17,78.7,"2"
"Algeria","dza","Africa",2021-11-30,2021,12293060,6875003,5391232,NA,147230,35110,27.55,15.41,12.08,NA,787,23904,0.054,44616626,10735,478.97,1.01,78.49,"2"
"Andorra","and","Europe",2021-12-12,2021,115709,56628,50551,8530,NA,1326,149.58,73.21,65.35,11.03,17142,76,0.098,77354,63705,4.928,3.44,NA,NA
"Angola","ago","Africa",2021-12-15,2021,10805281,7246240,3559041,NA,NA,83747,31.84,21.35,10.49,NA,2468,47305,0.139,33933611,6060,205.638,-0.6,65.71,"3"
"Antigua and Barbuda","atg","America North",2021-12-10,2021,119809,61921,57888,NA,NA,160,121.35,62.72,58.63,NA,1621,72,0.073,98728,17075,1.686,10.29,77.54,"2"
"Argentina","arg","America South",2021-12-18,2021,73285642,37606502,31615122,3904443,174667,269683,160.69,82.46,69.32,8.56,5913,44209,0.097,45605823,20613,940.073,1.46,77.25,"2"
"Armenia","arm","Europe",2021-12-12,2021,1452374,869750,582624,NA,NA,16305,48.93,29.3,19.63,NA,5493,5498,0.185,2968128,12745,37.828,3.54,76.18,"2"
"Australia","aus","Asia",2021-12-18,2021,41187932,20320601,19538547,1328784,105158,147596,159.72,78.8,75.77,5.15,5723,16475,0.064,25788217,50130,1292.771,2.02,83,"1"
"Austria","aut","Europe",2021-12-18,2021,15824816,6544832,6313170,3308763,68193,92396,174.99,72.37,69.81,36.59,10217,9284,0.103,9043072,53632,485,3.48,82.25,"1"
"Azerbaijan","aze","Europe",2021-12-18,2021,11046136,5138212,4638622,1269302,28277,25238,108.05,50.26,45.37,12.42,2469,2912,0.028,10223344,13773,140.805,0.49,71.28,"2"
"Bahamas","bhs","America North",2021-12-15,2021,293226,157232,145793,NA,NA,949,73.88,39.61,36.73,NA,2391,505,0.127,396914,30985,12.298,7.3,74.34,"2"
"Bahrain","bhr","Asia",2021-12-18,2021,3097455,1194968,1168676,NA,5952,8634,177.17,68.35,66.85,NA,4939,338,0.019,1748295,42277,73.913,1.13,80.02,"1"
"Bangladesh","bgd","Asia",2021-12-17,2021,132282376,87546674,44735702,NA,570616,728418,79.54,52.64,26.9,NA,4380,288712,0.174,166303494,5029,836.416,6.39,74.23,"2"
"Barbados","brb","America North",2021-12-16,2021,296255,154990,141265,NA,460,377,102.97,53.87,49.1,NA,1310,94,0.033,287708,13347,3.84,7.43,77.57,"2"
"Belarus","blr","Europe",2021-12-12,2021,7217727,4064247,3039334,114146,NA,77113,76.44,43.04,32.19,1.21,8166,35979,0.381,9442867,19133,180.673,1.31,74.77,"2"
"Belgium","bel","Europe",2021-12-16,2021,20351329,8879748,8759422,3134336,77684,84830,174.95,76.34,75.3,26.95,7293,1659,0.014,11632334,50103,582.82,2.65,82.02,"1"
"Belize","blz","America North",2021-12-10,2021,416878,229107,196741,NA,NA,697,102.95,56.58,48.59,NA,1721,84,0.021,404915,5851,2.369,4.29,74.69,"2"
