"name","geo","region","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"Afghanistan","afg","pays","Asia",2021-11-27,2021,5228706,4397449,3566192,NA,NA,15991,13.13,11.04,8.95,NA,401,16001,0.04,39835428,1950,77.661,2.17,64.74
"Africa","africa","continent",NA,2021-12-16,2021,279324314,177088481,115107758,663869,457941,2277401,20.34,12.89,8.38,0.05,1658,1254985,0.091,1371687302,4698,6443.655,1.5,67.2
"Albania","alb","pays","Europe",2021-12-15,2021,2226267,1111494,1001189,113584,9865,8580,77.49,38.69,34.85,3.95,2986,2740,0.095,2872934,13950,40.078,4.17,78.7
"Algeria","dza","pays","Africa",2021-11-30,2021,12293060,6875003,5391232,NA,147230,35110,27.55,15.41,12.08,NA,787,23904,0.054,44616626,10735,478.97,1.01,78.49
"Andorra","and","pays","Europe",2021-12-12,2021,115709,56628,50551,8530,NA,1326,149.58,73.21,65.35,11.03,17142,76,0.098,77354,63705,4.928,3.44,NA
"Angola","ago","pays","Africa",2021-12-15,2021,10805281,7246240,3559041,NA,NA,83747,31.84,21.35,10.49,NA,2468,47305,0.139,33933611,6060,205.638,-0.6,65.71
"Anguilla","aia","pays",NA,2021-12-08,2021,20284,10079,9223,982,NA,53,134.11,66.64,60.98,6.49,3504,6,0.04,NA,NA,NA,NA,NA
"Antigua and Barbuda","atg","pays","America North",2021-12-10,2021,119809,61921,57888,NA,NA,160,121.35,62.72,58.63,NA,1621,72,0.073,98728,17075,1.686,10.29,77.54
"Argentina","arg","pays","America South",2021-12-16,2021,72812317,37533923,31458855,3661957,311393,267682,159.66,82.3,68.98,8.03,5869,46154,0.101,45605823,20613,940.073,1.46,77.25
"Armenia","arm","pays","Europe",2021-12-12,2021,1452374,869750,582624,NA,NA,16305,48.93,29.3,19.63,NA,5493,5498,0.185,2968128,12745,37.828,3.54,76.18
"Aruba","abw","pays",NA,2021-12-16,2021,162623,84084,78539,NA,57,50,151.71,78.44,73.27,NA,466,26,0.024,NA,NA,NA,NA,NA
"Asia","asia","continent",NA,2021-12-16,2021,5850512610,3050449277,2482675692,169606667,20711271,26449658,125.05,65.2,53.07,3.63,5654,6886555,0.147,4617906978,13520,62436.005,6.06,74.03
"Australia","aus","pays","Asia",2021-12-16,2021,40874143,20289049,19468074,1117020,198405,122129,158.5,78.68,75.49,4.33,4736,15512,0.06,25788217,50130,1292.771,2.02,83
"Austria","aut","pays","Europe",2021-12-16,2021,15616619,6521108,6267213,3169884,110489,97269,172.69,72.11,69.3,35.05,10756,9702,0.107,9043072,53632,485,3.48,82.25
"Azerbaijan","aze","pays","Europe",2021-12-16,2021,10990538,5131789,4630793,1227956,30303,26309,107.5,50.2,45.3,12.01,2573,2979,0.029,10223344,13773,140.805,0.49,71.28
"Bahamas","bhs","pays","America North",2021-12-15,2021,293226,157232,145793,NA,NA,949,73.88,39.61,36.73,NA,2391,505,0.127,396914,30985,12.298,7.3,74.34
"Bahrain","bhr","pays","Asia",2021-12-16,2021,3086119,1194469,1167982,NA,7584,8823,176.52,68.32,66.81,NA,5047,373,0.021,1748295,42277,73.913,1.13,80.02
"Bangladesh","bgd","pays","Asia",2021-12-16,2021,131711760,87327614,44384146,NA,341644,3590945,79.2,52.51,26.69,NA,21593,3070317,1.846,166303494,5029,836.416,6.39,74.23
"Barbados","brb","pays","America North",2021-12-13,2021,294645,154565,140080,NA,142,307,102.41,53.72,48.69,NA,1067,69,0.024,287708,13347,3.84,7.43,77.57
"Belarus","blr","pays","Europe",2021-12-12,2021,7217727,4064247,3039334,114146,NA,77113,76.44,43.04,32.19,1.21,8166,35979,0.381,9442867,19133,180.673,1.31,74.77
"Belgium","bel","pays","Europe",2021-12-15,2021,20229078,8876959,8754818,3019303,78028,86692,173.9,76.31,75.26,25.96,7453,1668,0.014,11632334,50103,582.82,2.65,82.02
"Belize","blz","pays","America North",2021-12-10,2021,416878,229107,196741,NA,NA,697,102.95,56.58,48.59,NA,1721,84,0.021,404915,5851,2.369,4.29,74.69
"Benin","ben","pays","Africa",2021-12-12,2021,1425408,1363471,1062378,NA,NA,60281,11.45,10.95,8.53,NA,4841,59279,0.476,12451031,3330,41.46,3.11,65.9
"Bermuda","bmu","pays",NA,2021-12-10,2021,106520,46054,45029,15437,NA,148,171.55,74.17,72.52,24.86,2384,16,0.026,NA,NA,NA,NA,NA
"Bhutan","btn","pays","Asia",2021-12-05,2021,1154093,589482,564611,NA,NA,77,147.98,75.58,72.4,NA,99,38,0.005,779900,11289,8.804,4.65,75.34
"Bolivia","bol","pays","America South",2021-12-16,2021,9231661,5328739,4427369,459041,54083,42010,78.02,45.03,37.42,3.88,3550,19292,0.163,11832936,8249,97.613,2.68,73.85
"Bonaire Sint Eustatius and Saba","bes","pays",NA,2021-09-01,2021,35845,19109,16736,NA,NA,196,135.55,72.26,63.29,NA,7412,92,0.348,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","bih","pays","Europe",2021-11-04,2021,1553874,833233,720631,NA,NA,13791,47.61,25.53,22.08,NA,4226,5949,0.182,3263459,14765,48.185,3.66,77.29
"Botswana","bwa","pays","Africa",2021-12-15,2021,2128351,1125993,1002358,NA,NA,93251,88.78,46.97,41.81,NA,38899,25103,1.047,2397240,16813,40.306,3.24,70.17
"Brazil","bra","pays","America South",2021-12-16,2021,323831095,165279022,141175069,22280659,928805,718834,151.33,77.24,65.97,10.41,3359,52031,0.024,213993441,14390,3079.431,1.94,76.34
"British Virgin Islands","vgb","pays",NA,2021-12-03,2021,34992,18288,16704,NA,NA,19,115.02,60.11,54.91,NA,625,7,0.023,NA,NA,NA,NA,NA
"Brunei","brn","pays","Asia",2021-12-14,2021,790506,405092,385414,NA,3827,4049,179.04,91.75,87.29,NA,9170,76,0.017,441532,63588,28.076,2.31,75.9
"Bulgaria","bgr","pays","Europe",2021-12-16,2021,3560057,NA,1862639,204322,18685,13375,51.62,NA,27.01,2.96,1939,NA,NA,6896655,23631,162.977,5.03,75.36
"Burkina Faso","bfa","pays","Africa",2021-12-15,2021,776941,442769,334172,NA,NA,2808,3.61,2.06,1.55,NA,131,0,0,21497097,2161,46.465,2.23,63.32
"Burundi","bdi","pays","Africa",2021-12-15,2021,6086,4010,2076,NA,NA,404,0.05,0.03,0.02,NA,33,265,0.002,12255429,719,8.813,0.69,62.91
"Cambodia","khm","pays","Asia",2021-12-15,2021,29678249,14216413,13576556,2938431,47065,56298,175.13,83.89,80.11,17.34,3322,3824,0.023,16946446,4344,73.621,4.93,70.87
"Cameroon","cmr","pays","Africa",2021-12-14,2021,986281,806176,627046,NA,NA,1740,3.62,2.96,2.3,NA,64,1556,0.006,27224262,3482,94.789,1.73,64.51
"Canada","can","pays","America North",2021-12-16,2021,64277543,31343946,29254895,3678702,293289,214009,168.85,82.34,76.85,9.66,5622,47766,0.125,38067913,47650,1813.95,3.54,82.46
"Cape Verde","cpv","pays","Africa",2021-12-13,2021,557243,301215,254463,NA,NA,705,99.17,53.61,45.29,NA,1255,144,0.026,561901,6368,3.578,4.71,76.57
"Cayman Islands","cym","pays",NA,2021-12-10,2021,128181,58371,56486,NA,NA,352,192.76,87.78,84.94,NA,5293,33,0.05,NA,NA,NA,NA,NA
"Central African Republic","caf","pays","Africa",2021-12-15,2021,790782,446712,344070,NA,NA,32183,16.07,9.08,6.99,NA,6541,6511,0.132,4919987,943,4.639,2.98,53.63
"Chad","tcd","pays","Africa",2021-12-15,2021,366585,285922,80663,NA,NA,12413,2.17,1.69,0.48,NA,734,12073,0.071,16914985,1502,25.408,-0.34,61.22
"Chile","chl","pays","America South",2021-12-15,2021,42647593,17097206,16374301,9749565,93164,109616,221.98,88.99,85.23,50.75,5705,23067,0.12,19212362,24346,467.746,2.76,80.28
"China","chn","pays","Asia",2021-12-16,2021,2650561000,NA,NA,NA,10502000,9688714,183.53,NA,NA,NA,6709,NA,NA,1444216102,17744,25626.456,5.33,77.87
"Colombia","col","pays","America South",2021-12-14,2021,61405812,39942186,26563983,NA,317865,255805,119.78,77.91,51.82,NA,4990,138247,0.27,51265841,14043,719.92,2.69,80.84
"Comoros","com","pays","Africa",2021-12-10,2021,527119,282378,244741,NA,NA,322,59.33,31.78,27.55,NA,362,36,0.004,888456,2887,2.565,-0.1,69.51
"Congo, Dem. Rep.","cod","pays","Africa",2021-12-14,2021,256561,195619,83718,NA,NA,5256,0.28,0.21,0.09,NA,57,4661,0.005,92377986,1068,98.631,1.56,63.63
"Congo, Rep.","cog","pays","Africa",2021-12-15,2021,1295601,734721,560880,NA,NA,87780,22.9,12.99,9.91,NA,15517,26949,0.476,5657017,3230,18.272,-1.46,63.68
"Cook Islands","cok","pays",NA,2021-11-08,2021,24326,12600,11726,NA,NA,40,138.44,71.7,66.73,NA,2276,14,0.08,NA,NA,NA,NA,NA
