"name","geo","region","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"Afghanistan","afg","pays",2021-11-13,2021,NA,NA,NA,NA,NA,36635,NA,NA,NA,NA,920,60035,0.151,39835428,1950,77660991250,2.17,64.74
"Africa","africa","continent",2021-11-13,2021,215537235,134281561,90282133,256524,1697642,1541699,15.69,9.78,6.57,0.02,1122,1042984,0.076,1371687302,4698,6443655202262,1.5,67.2
"Albania","alb","pays",2021-11-13,2021,NA,NA,NA,NA,NA,6972,NA,NA,NA,NA,2427,2053,0.071,2872934,13950,40078428539,4.17,78.7
"Algeria","dza","pays",2021-11-13,2021,11376816,6446373,4930443,NA,NA,10805,25.5,14.45,11.05,NA,242,4869,0.011,44616626,10735,478970233056,1.01,78.49
"Andorra","and","pays",2021-11-13,2021,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,698,31,0.04,77354,63705,4927820447,3.44,NA
"Angola","ago","pays",2021-11-13,2021,NA,NA,NA,NA,NA,114414,NA,NA,NA,NA,3372,94263,0.278,33933611,6060,205637996110,-0.6,65.71
"Anguilla","aia","pays",2021-11-13,2021,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,992,15,0.099,NA,NA,NA,NA,NA
"Antigua and Barbuda","atg","pays",2021-11-13,2021,NA,NA,NA,NA,NA,687,NA,NA,NA,NA,6959,342,0.346,98728,17075,1685787899,10.29,77.54
"Argentina","arg","pays",2021-11-13,2021,62795101,35716404,27201986,NA,196749,215134,137.69,78.32,59.65,NA,4717,112657,0.247,45605823,20613,940072982184,1.46,77.25
"Armenia","arm","pays",2021-11-13,2021,NA,NA,NA,NA,NA,15125,NA,NA,NA,NA,5096,9072,0.306,2968128,12745,37828076148,3.54,76.18
"Aruba","abw","pays",2021-11-13,2021,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,737,36,0.034,NA,NA,NA,NA,NA
"Asia","asia","continent",2021-11-13,2021,5070174303,2731162664,2108892866,77754679,26821961,23903009,108.37,58.38,45.08,1.66,5109,6720652,0.144,4617906978,13520,62436004910023,6.06,74.03
"Australia","aus","pays",2021-11-13,2021,37634423,19541933,17835028,257462,90364,133907,145.94,75.78,69.16,1,5193,36551,0.142,25788217,50130,1292771256938,2.02,83
"Austria","aut","pays",2021-11-13,2021,12281309,6129564,5757072,732040,65629,67125,135.81,67.78,63.66,8.1,7423,18675,0.207,9043072,53632,484999571086,3.48,82.25
"Azerbaijan","aze","pays",2021-11-13,2021,10062192,5018158,4473436,570598,40504,30611,98.42,49.09,43.76,5.58,2994,3043,0.03,10223344,13773,140804665584,0.49,71.28
"Bahamas","bhs","pays",2021-11-13,2021,NA,NA,NA,NA,NA,765,NA,NA,NA,NA,1927,393,0.099,396914,30985,12298267893,7.3,74.34
"Bahrain","bhr","pays",2021-11-13,2021,2822857,1183392,1147983,NA,2591,3858,161.46,67.69,65.66,NA,2207,316,0.018,1748295,42277,73912627833,1.13,80.02
"Bangladesh","bgd","pays",2021-11-13,2021,83837945,51299236,32538709,NA,NA,1423156,50.41,30.85,19.57,NA,8558,1134645,0.682,166303494,5029,836416089227,6.39,74.23
"Barbados","brb","pays",2021-11-13,2021,283918,151634,132284,NA,354,565,98.68,52.7,45.98,NA,1964,195,0.068,287708,13347,3840019377,7.43,77.57
