"name","geo","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy",".cluster"
"Afghanistan","afg","Asia",2021-11-27,2021,5228706,4397449,3566192,NA,NA,15991,13.13,11.04,8.95,NA,401,16001,0.04,39835428,1950,77.661,2.17,64.74,"4"
"Albania","alb","Europe",2021-12-18,2021,2251010,1119430,1008465,123115,NA,8907,78.35,38.96,35.1,4.29,3100,2769,0.096,2872934,13950,40.078,4.17,78.7,"2"
"Algeria","dza","Africa",2021-12-14,2021,12437324,7019879,5554702,NA,NA,10305,27.88,15.73,12.45,NA,231,10348,0.023,44616626,10735,478.97,1.01,78.49,"2"
"Andorra","and","Europe",2021-12-12,2021,115709,56628,50551,8530,NA,1326,149.58,73.21,65.35,11.03,17142,76,0.098,77354,63705,4.928,3.44,NA,NA
"Angola","ago","Africa",2021-12-15,2021,10805281,7246240,3559041,NA,NA,83747,31.84,21.35,10.49,NA,2468,47305,0.139,33933611,6060,205.638,-0.6,65.71,"4"
"Antigua and Barbuda","atg","America North",2021-12-10,2021,119809,61921,57888,NA,NA,160,121.35,62.72,58.63,NA,1621,72,0.073,98728,17075,1.686,10.29,77.54,"3"
"Argentina","arg","America South",2021-12-20,2021,73701996,37668062,31747174,4125486,300659,271841,161.61,82.59,69.61,9.05,5961,43315,0.095,45605823,20613,940.073,1.46,77.25,"3"
"Armenia","arm","Europe",2021-12-12,2021,1452374,869750,582624,NA,NA,16305,48.93,29.3,19.63,NA,5493,5498,0.185,2968128,12745,37.828,3.54,76.18,"2"
"Australia","aus","Asia",2021-12-20,2021,41445662,20346169,19587839,1511654,194274,159214,160.72,78.9,75.96,5.86,6174,16542,0.064,25788217,50130,1292.771,2.02,83,"1"
"Austria","aut","Europe",2021-12-20,2021,15947077,6559466,6341664,3388226,71229,92131,176.35,72.54,70.13,37.47,10188,9366,0.104,9043072,53632,485,3.48,82.25,"1"
"Azerbaijan","aze","Europe",2021-12-20,2021,11066951,5140918,4641918,1284115,77,24696,108.25,50.29,45.41,12.56,2416,2906,0.028,10223344,13773,140.805,0.49,71.28,"2"
"Bahamas","bhs","America North",2021-12-15,2021,293226,157232,145793,NA,NA,949,73.88,39.61,36.73,NA,2391,505,0.127,396914,30985,12.298,7.3,74.34,"2"
"Bahrain","bhr","Asia",2021-12-20,2021,3122142,1196261,1170160,NA,15441,9464,178.58,68.42,66.93,NA,5413,422,0.024,1748295,42277,73.913,1.13,80.02,"1"
"Bangladesh","bgd","Asia",2021-12-17,2021,132282376,87546674,44735702,NA,570616,728418,79.54,52.64,26.9,NA,4380,288712,0.174,166303494,5029,836.416,6.39,74.23,"2"
"Barbados","brb","America North",2021-12-19,2021,297285,155242,142043,NA,193,397,103.33,53.96,49.37,NA,1380,103,0.036,287708,13347,3.84,7.43,77.57,"2"
"Belarus","blr","Europe",2021-12-12,2021,7217727,4064247,3039334,114146,NA,77113,76.44,43.04,32.19,1.21,8166,35979,0.381,9442867,19133,180.673,1.31,74.77,"2"
"Belgium","bel","Europe",2021-12-20,2021,20742966,8888630,8771125,3505951,92965,98490,178.32,76.41,75.4,30.14,8467,1794,0.015,11632334,50103,582.82,2.65,82.02,"1"
"Belize","blz","America North",2021-12-17,2021,421458,229714,198204,NA,NA,654,104.09,56.73,48.95,NA,1615,87,0.021,404915,5851,2.369,4.29,74.69,"2"
"Benin","ben","Africa",2021-12-12,2021,1425408,1363471,1062378,NA,NA,60281,11.45,10.95,8.53,NA,4841,59279,0.476,12451031,3330,41.46,3.11,65.9,"4"
"Bhutan","btn","Asia",2021-12-05,2021,1154093,589482,564611,NA,NA,77,147.98,75.58,72.4,NA,99,38,0.005,779900,11289,8.804,4.65,75.34,"3"
"Bolivia","bol","America South",2021-12-16,2021,9231661,5328739,4427369,459041,54083,42010,78.02,45.03,37.42,3.88,3550,19292,0.163,11832936,8249,97.613,2.68,73.85,"2"
"Bosnia and Herzegovina","bih","Europe",2021-11-30,2021,NA,882641,NA,22572,NA,NA,NA,27.05,NA,0.69,NA,1900,0.058,3263459,14765,48.185,3.66,77.29,NA
"Botswana","bwa","Africa",2021-12-15,2021,2128351,1125993,1002358,NA,NA,93251,88.78,46.97,41.81,NA,38899,25103,1.047,2397240,16813,40.306,3.24,70.17,"2"
"Brazil","bra","America South",2021-12-20,2021,325593485,165471288,141702263,23326643,746805,693650,152.15,77.33,66.22,10.9,3241,77311,0.036,213993441,14390,3079.431,1.94,76.34,"3"
"Brunei","brn","Asia",2021-12-14,2021,790506,405092,385414,NA,3827,4049,179.04,91.75,87.29,NA,9170,76,0.017,441532,63588,28.076,2.31,75.9,"1"
"Bulgaria","bgr","Europe",2021-12-20,2021,3602682,NA,1877872,226043,15004,13761,52.24,NA,27.23,3.28,1995,NA,NA,6896655,23631,162.977,5.03,75.36,"2"
"Burkina Faso","bfa","Africa",2021-12-15,2021,776941,442769,334172,NA,NA,2808,3.61,2.06,1.55,NA,131,0,0,21497097,2161,46.465,2.23,63.32,"4"
"Burundi","bdi","Africa",2021-12-15,2021,6086,4010,2076,NA,NA,404,0.05,0.03,0.02,NA,33,265,0.002,12255429,719,8.813,0.69,62.91,"4"
"Cambodia","khm","Asia",2021-12-19,2021,29830319,14225712,13592006,3065752,27257,46894,176.03,83.95,80.21,18.09,2767,3484,0.021,16946446,4344,73.621,4.93,70.87,"3"
"Cameroon","cmr","Africa",2021-12-14,2021,986281,806176,627046,NA,NA,1740,3.62,2.96,2.3,NA,64,1556,0.006,27224262,3482,94.789,1.73,64.51,"4"
"Canada","can","America North",2021-12-20,2021,65385590,31500248,29308292,4577050,351702,274612,171.76,82.75,76.99,12.02,7214,40900,0.107,38067913,47650,1813.95,3.54,82.46,"1"
"Cape Verde","cpv","Africa",2021-12-17,2021,571130,302802,255954,NA,NA,2286,101.64,53.89,45.55,NA,4068,289,0.051,561901,6368,3.578,4.71,76.57,"2"
"Central African Republic","caf","Africa",2021-12-15,2021,790782,446712,344070,NA,NA,32183,16.07,9.08,6.99,NA,6541,6511,0.132,4919987,943,4.639,2.98,53.63,"4"
"Chad","tcd","Africa",2021-12-15,2021,366585,285922,80663,NA,NA,12413,2.17,1.69,0.48,NA,734,12073,0.071,16914985,1502,25.408,-0.34,61.22,"4"
"Chile","chl","America South",2021-12-19,2021,42967959,17157044,16414823,9969646,1537,106218,223.65,89.3,85.44,51.89,5529,20041,0.104,19212362,24346,467.746,2.76,80.28,"3"
"China","chn","Asia",2021-12-20,2021,2695181000,NA,NA,NA,10891000,10570143,186.62,NA,NA,NA,7319,NA,NA,1444216102,17744,25626.456,5.33,77.87,NA
"Colombia","col","America South",2021-12-18,2021,62523818,37836418,27199605,2677561,207004,270544,121.96,73.8,53.06,5.22,5277,159672,0.311,51265841,14043,719.92,2.69,80.84,"3"
"Comoros","com","Africa",2021-12-10,2021,527119,282378,244741,NA,NA,322,59.33,31.78,27.55,NA,362,36,0.004,888456,2887,2.565,-0.1,69.51,"2"
